frame_number,timestamp_ms,speed_center_of_mass,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back,landmark_nose_x,landmark_nose_y,landmark_nose_z,landmark_nose_visibility,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_shoulder_visibility,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_shoulder_visibility,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_elbow_visibility,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_elbow_visibility,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_left_wrist_visibility,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_wrist_visibility,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_hip_visibility,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_right_hip_visibility,landmark_left_knee_x,landmark_left_knee_y,landmark_left_knee_z,landmark_left_knee_visibility,landmark_right_knee_x,landmark_right_knee_y,landmark_right_knee_z,landmark_right_knee_visibility,landmark_left_ankle_x,landmark_left_ankle_y,landmark_left_ankle_z,landmark_left_ankle_visibility,landmark_right_ankle_x,landmark_right_ankle_y,landmark_right_ankle_z,landmark_right_ankle_visibility,landmark_left_heel_x,landmark_left_heel_y,landmark_left_heel_z,landmark_left_heel_visibility,landmark_right_heel_x,landmark_right_heel_y,landmark_right_heel_z,landmark_right_heel_visibility
0,0.0,0.0,129.15307062912808,150.97090875981917,84.66917100443283,69.50157998574821,85.11396685275581,125.83304960569471,155.3491558115893,88.45886983591863,114.88220568140781,152.6383379218001,179.99690424254115,174.90330936098204,483.039106965065,541.945389509201,-0.2561463415622711,0.9911177754402161,465.3353576660156,526.8274066448212,-0.28986069560050964,0.9994996786117554,453.4886863231659,577.8173770904541,-0.17657597362995148,0.9988657236099243,452.8726977109909,483.17662703990936,-0.31243160367012024,0.9095672965049744,432.8912787437439,604.117618560791,-0.23418059945106506,0.9543623328208923,481.29829823970795,442.4483400583267,-0.31500205397605896,0.9209034442901611,427.94866132736206,635.1917843818665,-0.3647494912147522,0.9213292598724365,423.4461547136307,534.6695237159729,-0.05379883572459221,0.9999973773956299,411.53652119636536,564.5348634719849,0.05333626642823219,0.9999853372573853,420.2854882478714,503.1019721031189,-0.2079598307609558,0.9857667684555054,376.9135000705719,590.2468705177307,0.24430875480175018,0.880885124206543,395.7273609638214,461.19082510471344,-0.13870586454868317,0.9655827283859253,400.8885247707367,620.7797322273254,0.45383644104003906,0.8279280662536621,391.3211188316345,461.61403155326843,-0.12915152311325073,0.9569413065910339,405.3189457654953,622.7986619472504,0.47528573870658875,0.9029871821403503
1,33.242009132420094,880.1005972003785,25.37311455428285,176.00371970719596,93.90629441758229,97.91424731393649,80.2056337992142,81.86266174970419,170.27407654333325,163.35277421769499,83.59785027456887,5.074078754011856,179.99814559636826,129.29304162355706,460.9827114343643,464.59861421585083,-0.3366706073284149,0.991986095905304,413.51166021823883,468.1714930534363,-0.4091227054595947,0.9995282888412476,455.9376894235611,544.572437286377,-0.3699530065059662,0.9989763498306274,378.32857060432434,451.95453810691833,-0.41462185978889465,0.900365948677063,458.5997232198715,576.3171508312225,-0.27205193042755127,0.9471171498298645,409.04158866405487,451.6185849905014,-0.4061770737171173,0.9169539213180542,461.12879061698914,592.6732912063599,-0.2451983541250229,0.9025227427482605,400.09037947654724,503.4288787841797,-0.015394428744912148,0.9999969601631165,411.48497200012207,542.1487953662872,0.015396113507449627,0.9999862313270569,388.66859006881714,496.6647695302963,0.26833289861679077,0.9669420719146729,415.74614095687866,590.6925849914551,-0.004627999383956194,0.8653692007064819,365.0988475084305,487.66032445430756,0.6007997393608093,0.9433028101921082,402.97987496852875,652.7164278030396,0.07013806700706482,0.8299499154090881,364.75635409355164,488.9840371608734,0.6372194290161133,0.9342872500419617,405.5114747285843,644.2807040214539,0.0799982026219368,0.8973885774612427
2,66.48401826484019,284.20373738408557,45.82064534842488,172.14506773629327,93.57692271200007,80.46419530036015,4.858330222422345,121.67394711927815,56.706391275421275,126.15017216276891,134.12060983713727,62.571507992218805,179.99789558079453,162.99424155620176,455.60601925849915,474.5340393781662,-0.4357263147830963,0.9926454424858093,431.2208558320999,486.20350873470306,-0.49777325987815857,0.9995471239089966,466.50357484817505,554.6531302928925,-0.3339180648326874,0.9990531206130981,398.9578582048416,456.6471062898636,-0.5392985343933105,0.8824872970581055,460.53989481925964,572.8882122039795,-0.27091795206069946,0.9245532751083374,406.38423800468445,456.21531653404236,-0.5270172357559204,0.8931018710136414,458.43237912654877,584.5369951725006,-0.21899327635765076,0.8627280592918396,409.0526200532913,513.661076426506,-0.06083504855632782,0.999996542930603,422.0594952106476,547.9520373344421,0.0605868324637413,0.9999866485595703,431.6206222772598,480.27534568309784,0.000259939901297912,0.9543462991714478,386.0090192556381,590.5393204689026,0.0038882947992533445,0.8369203209877014,385.42556977272034,479.6591691970825,0.17303894460201263,0.9244893193244934,398.59468960762024,642.5557062625885,0.14324097335338593,0.8151934146881104,382.59900176525116,482.49712550640106,0.19510510563850403,0.9120355248451233,401.0259314775467,640.4400136470795,0.16036246716976166,0.8901280164718628
3,99.72602739726028,195.28275397518703,86.63022263909076,168.7440071844673,64.88699211059028,84.86289303637564,22.88494739830989,133.70420436557663,78.48293459785704,118.14180790754347,89.63296506673302,14.688341594122269,179.99749052831817,176.83347028811156,454.14873111248016,466.6520006656647,-0.464862585067749,0.9933592677116394,434.5750572681427,490.93775844573975,-0.5322367548942566,0.9995829463005066,472.7312797307968,543.0380012989044,-0.3205435872077942,0.9991409182548523,398.77646470069885,479.2661278247833,-0.554352343082428,0.8666921257972717,472.09943783283234,551.5611636638641,-0.1725989431142807,0.8675227761268616,407.176243185997,457.86278665065765,-0.5123245120048523,0.8651748299598694,472.6314768791199,555.8841247558594,-0.08153312653303146,0.7907687425613403,410.56405913829803,516.5329645872116,-0.06597596406936646,0.9999961853027344,421.35189056396484,543.842794418335,0.06575336307287216,0.9999875426292419,421.8749449253082,485.9325170516968,-0.04872727021574974,0.9290250539779663,382.4358551502228,585.858268737793,-0.1042148619890213,0.8077954649925232,388.3768479824066,480.7653969526291,0.10488567501306534,0.9078757762908936,401.6425098180771,641.4763708114624,-0.06973404437303543,0.7996272444725037,387.81938123703003,484.5397365093231,0.12501849234104156,0.8977854251861572,401.4115444421768,638.4491803646088,-0.06499200314283371,0.8864997029304504
4,132.96803652968038,152.62567348879185,136.46727263991852,41.91266828875035,67.94750087442888,32.56842611020627,52.588981251583235,145.35724568261247,76.44182670144723,76.36866678549168,99.54052491092102,120.30399803301904,179.99685591435554,162.71555911771762,457.18961334228516,484.87272560596466,-0.5401668548583984,0.994020938873291,438.2514932155609,510.38024616241455,-0.5270513892173767,0.999622106552124,470.8481730222702,550.3074450492859,-0.28922632336616516,0.9992184042930603,408.2436168193817,484.24916994571686,-0.5532655119895935,0.8771140575408936,466.19153916835785,552.9208459854126,-0.12714286148548126,0.8521307706832886,405.7112885713577,457.5479212999344,-0.5573281049728394,0.8662903308868408,471.1705809831619,554.0347616672516,-0.061409592628479004,0.7518346905708313,407.8039916753769,525.8257532119751,-0.08440227061510086,0.9999955296516418,416.87810719013214,547.2273344993591,0.08416614681482315,0.9999872446060181,416.66233599185944,478.09132623672485,-0.2621977627277374,0.9307091236114502,352.85265254974365,586.2724287509918,-0.0648118108510971,0.814024806022644,392.89097571372986,479.3558820486069,-0.05412815511226654,0.8941372036933899,401.6005697250366,635.0072124004364,0.12643417716026306,0.7811146378517151,392.17900013923645,485.60922276973724,-0.032273147255182266,0.8857004046440125,405.1665530204773,634.0714466571808,0.14803926646709442,0.8772265911102295
5,166.21004566210047,69.11046435293899,108.81949843092431,57.87887820787476,53.5004174470166,138.21219513571438,58.46520537477562,148.81083255692727,97.57880298346033,79.0736894202562,54.31153630770817,138.38763042768082,179.9968100963331,161.70444323272577,454.47627317905426,478.90658605098724,-0.6148466467857361,0.9946187734603882,440.30010545253754,510.2680456638336,-0.5611704587936401,0.9996590614318848,476.05776393413544,546.3560361862183,-0.33217504620552063,0.9992961287498474,400.4807449579239,491.2604352235794,-0.6124035716056824,0.8801968693733215,477.4996497631073,545.0093214511871,-0.16630735993385315,0.8587422370910645,404.083048582077,460.58526968955994,-0.6643945574760437,0.8605383038520813,474.04626989364624,544.0947360992432,-0.099526047706604,0.7477882504463196,409.32389509677887,526.7266917228699,-0.07876656204462051,0.9999952912330627,416.60991954803467,547.661007642746,0.07838022708892822,0.9999881982803345,412.1953171491623,480.46399319171906,-0.26556095480918884,0.9229878783226013,355.4039214849472,586.5735237598419,-0.11207965761423111,0.8074120879173279,405.1458431482315,479.0770480632782,-0.05359838157892227,0.8839177489280701,399.74715757369995,633.5094561576843,0.005586497485637665,0.7748740315437317,408.24774491786957,485.8653326034546,-0.03243667259812355,0.8803595900535583,404.4192978143692,633.919417142868,0.016893165186047554,0.8775312900543213
6,199.45205479452056,55.4701957895068,94.4925472314147,166.90235589859572,47.1950120756177,114.68557233283047,99.23774628881566,156.1424352426856,61.28239887167107,105.24156273547503,116.63493720904246,151.54490552091326,179.99649333024638,160.26663086403923,445.4670971632004,472.8752689361572,-0.5132408142089844,0.9951567649841309,441.3070492744446,512.7056740522385,-0.5489664077758789,0.9996926784515381,487.0128353834152,519.5399317741394,-0.30503278970718384,0.9993658661842346,394.39169561862946,497.7062828540802,-0.5940647125244141,0.88871169090271,489.3960317373276,496.42737007141113,-0.24994400143623352,0.8107267022132874,403.31386935710907,459.7770185470581,-0.6133999824523926,0.8667304515838623,483.84876930713654,452.5810886621475,-0.376080185174942,0.6885349154472351,410.17712795734406,530.2932720184326,-0.07707430422306061,0.9999889731407166,424.8573052883148,540.6975371837616,0.07704824954271317,0.9999874234199524,377.6192661523819,489.6588765382767,-0.22817769646644592,0.9233013987541199,376.42159724235535,585.3239424228668,-0.1767881214618683,0.8141672611236572,401.57933950424194,485.44033539295197,-0.022118404507637024,0.8589882254600525,399.7696713209152,630.3391282558441,-0.13532623648643494,0.764140784740448,406.43596065044403,491.9749183654785,-0.00239706807769835,0.8490866422653198,405.45444452762604,634.1924157142639,-0.13263888657093048,0.8693112134933472
7,232.6940639269406,61.41710920511661,89.4893988841538,158.7480570991946,62.59425323864639,134.5590049057511,169.3081756281202,179.27755486079707,96.64821105348364,91.24429788714447,170.95893554859134,168.6630900784845,179.9963916913566,176.72126919236757,442.9634574651718,472.3183419704437,-0.42544126510620117,0.9956403970718384,434.84216952323914,511.9671700000763,-0.5018452405929565,0.9997225403785706,479.7241051197052,510.319761633873,-0.27827194333076477,0.999428391456604,392.6271936893463,499.6747933626175,-0.6113309264183044,0.8973357677459717,488.100155711174,488.0919289588928,-0.2667839229106903,0.7858169674873352,403.8920112848282,462.2349628210068,-0.682485044002533,0.8780822157859802,487.60578989982605,441.21120142936707,-0.383031964302063,0.6684214472770691,411.232360124588,536.7248244285583,-0.06973853707313538,0.9999860525131226,425.53781712055206,534.3445312976837,0.06992408633232117,0.9999857544898987,376.8125524520874,561.4285089969635,-0.1990840882062912,0.9253872632980347,378.08313953876495,554.6726434230804,-0.1034272089600563,0.8147836327552795,402.06465125083923,606.9480721950531,-0.06688928604125977,0.8412736654281616,403.48801267147064,617.7277181148529,0.059612203389406204,0.7080716490745544,407.9101427793503,614.4136970043182,-0.051523271948099136,0.8363047242164612,408.9023087024689,625.9760293960571,0.07011960446834564,0.8192289471626282
8,265.93607305936075,53.28139069271379,103.13903356032063,148.5641618274844,61.906319615640534,142.86811882498193,179.6291130275582,177.42682881642057,92.528957780426,88.07264680523485,176.35032290019146,169.64143870176864,179.99605048011608,179.2054245946532,442.0425099134445,472.6190356016159,-0.4466668665409088,0.9960762858390808,436.75944578647614,515.0186283588409,-0.5101029276847839,0.9997498393058777,477.4756096601486,509.9369090795517,-0.32201579213142395,0.9994852542877197,398.39303719997406,498.461181640625,-0.585885226726532,0.9029157757759094,487.7335181236267,491.73591339588165,-0.3583521246910095,0.7921395897865295,404.469043135643,464.70605993270874,-0.6437392234802246,0.8850790858268738,486.01511907577515,443.2705776691437,-0.5165056586265564,0.683771014213562,410.74115109443665,535.7613945007324,-0.062131062150001526,0.9999868273735046,424.23618257045746,533.0451173782349,0.062142886221408844,0.9999864101409912,369.6026029586792,568.1252794265747,-0.1854647547006607,0.9315961003303528,377.613126039505,550.8391778469086,-0.07146937400102615,0.8274177312850952,399.91751968860626,610.3699712753296,0.05359821766614914,0.8456072211265564,403.71443367004395,612.8798785209656,0.27225440740585327,0.6810082197189331,405.11070227622986,616.7118620872498,0.08303796499967575,0.8369633555412292,409.6690596342087,621.987940788269,0.3074043095111847,0.7868972420692444
9,299.17808219178085,16.5977652498273,110.35445860309743,146.67602055210875,61.00595500959306,146.868303023864,160.3415966650151,179.2408956873189,29.403360746344152,94.81254532644441,129.73704875273486,160.37991357746674,179.99586503602106,172.81841600275084,442.0567674636841,471.587494969368,-0.3577693700790405,0.9964685440063477,437.79181730747223,514.4702229499817,-0.4257759153842926,0.9997704029083252,476.2035309076309,506.68933141231537,-0.2673870027065277,0.9995359182357788,401.5497490167618,496.92041623592377,-0.5088621377944946,0.8962463140487671,489.5821430683136,482.1967406272888,-0.2943301498889923,0.8003824353218079,404.5118157863617,466.06558787822723,-0.5924573540687561,0.8710450530052185,486.06375432014465,439.2110747098923,-0.42645692825317383,0.6918480396270752,409.4276872873306,534.455126285553,-0.04729631170630455,0.999985933303833,422.44940972328186,535.5405132770538,0.04702512174844742,0.9999864101409912,375.8807816505432,543.7644948959351,-0.2764517068862915,0.9364655613899231,377.3377228975296,560.5284967422485,-0.08423855900764465,0.8432347774505615,404.6494653224945,515.0831884145737,-0.11680319905281067,0.8453444242477417,402.0507752895355,615.5943031311035,-0.02657957561314106,0.6901549100875854,412.7038017511368,515.8374696969986,-0.09899915754795074,0.8317556977272034,409.87480545043945,623.7559168338776,-0.0208271611481905,0.7838191986083984
